"""CURRENTBID"",""PRODUCTID"",""PRODUCTNAME"",""STARTPRICE"""
"""0.0"",""1"",""Vintage Blue Bag"",""4000"""
"""CURRENTBID"",""PRODUCTID"",""PRODUCTNAME"",""STARTPRICE"",""WINNINGBID"""
"""0.0"",""1"",""Vintage Orange Bag"",""5000"",""0.0"""
"""CURRENTBID"",""PRODUCTID"",""PRODUCTNAME"",""STARTPRICE"",""WINNINGBID"""
"""0.0"",""2"",""Vintage Black Bag"",""3950"",""0.0"""
"CURRENTBID","DATE","PRODUCTID","PRODUCTNAME","STARTPRICE","WININNGBID"
"16000.0","Thu Mar 30 17:29:39 MSK 2023","1","""""Vintage Orange Bag""""","5000","0.0"
"CURRENTBID","DATE","PRODUCTID","PRODUCTNAME","STARTPRICE","WININNGBID"
"14000.0","Thu Mar 30 17:31:24 MSK 2023","1","""""Vintage Blue Bag""""","4000","0.0"
"CURRENTBID","DATE","PRODUCTID","PRODUCTNAME","STARTPRICE","WININNGBID"
"16000.0","Thu Mar 30 17:35:35 MSK 2023","1","""""Vintage Orange Bag""""","5000","0.0"
"CURRENTBID","DATE","PRODUCTID","PRODUCTNAME","STARTPRICE","WININNGBID"
"14000.0","Thu Mar 30 17:38:01 MSK 2023","1","""""Vintage Blue Bag""""","4000","0.0"
"CURRENTBID","DATE","PRODUCTID","PRODUCTNAME","STARTPRICE","WININNGBID"
"13000.0","Thu Mar 30 23:51:38 MSK 2023","2","""""Vintage Black Bag""""","3950","0.0"
"CURRENTBID","DATE","PRODUCTID","PRODUCTNAME","STARTPRICE","WININNGBID"
"5000.0","Fri Mar 31 07:31:36 MSK 2023","14"," Protein 5l"," 2000","0.0"
"CURRENTBID","DATE","PRODUCTID","PRODUCTNAME","STARTPRICE","WININNGBID"
"13000.0","Fri Mar 31 10:00:42 MSK 2023","11"," Vintage Black Bag"," 3950","0.0"
"CURRENTBID","DATE","PRODUCTID","PRODUCTNAME","STARTPRICE","WININNGBID"
"14000.0","Fri Mar 31 10:01:21 MSK 2023","12"," Vintage Blue Bag"," 4000","0.0"
"CURRENTBID","DATE","PRODUCTID","PRODUCTNAME","STARTPRICE","WININNGBID"
"16000.0","Fri Mar 31 10:01:43 MSK 2023","13"," Vintage Orange Bag"," 5000","0.0"
"CURRENTBID","DATE","PRODUCTID","PRODUCTNAME","STARTPRICE","WININNGBID"
"3000.0","Fri Mar 31 10:01:55 MSK 2023","14"," Protein 5l"," 2000","0.0"
"CURRENTBID","DATE","PRODUCTID","PRODUCTNAME","STARTPRICE","WININNGBID"
"5000.0","Fri Mar 31 10:02:11 MSK 2023","15"," Protein Strawberry Shake 2l"," 2500","0.0"
"CURRENTBID","DATE","PRODUCTID","PRODUCTNAME","STARTPRICE","WININNGBID"
"25000.0","Fri Mar 31 11:01:59 MSK 2023","11"," Vintage Black Bag"," 3950","0.0"
"CURRENTBID","DATE","PRODUCTID","PRODUCTNAME","STARTPRICE","WININNGBID"
"30000.0","Fri Mar 31 19:10:47 MSK 2023","12"," Vintage Blue Bag"," 4000","0.0"
"CURRENTBID","DATE","PRODUCTID","PRODUCTNAME","STARTPRICE","WININNGBID"
"30000.0","Fri Mar 31 19:16:06 MSK 2023","12"," Vintage Blue Bag"," 4000","0.0"
"CURRENTBID","DATE","PRODUCTID","PRODUCTNAME","STARTPRICE","WININNGBID"
"27000.0","Fri Mar 31 21:13:32 MSK 2023","11"," Vintage Black Bag"," 3950","0.0"
"CURRENTBID","DATE","PRODUCTID","PRODUCTNAME","STARTPRICE","WININNGBID"
"30000.0","Fri Mar 31 21:13:44 MSK 2023","11"," Vintage Black Bag"," 3950","0.0"
"CURRENTBID","DATE","PRODUCTID","PRODUCTNAME","STARTPRICE","WININNGBID"
"16000.0","Fri Mar 31 21:13:56 MSK 2023","12"," Vintage Blue Bag"," 4000","0.0"
"CURRENTBID","DATE","PRODUCTID","PRODUCTNAME","STARTPRICE","WININNGBID"
"35000.0","Fri Mar 31 21:39:06 MSK 2023","12"," Vintage Blue Bag"," 4000","0.0"
"CURRENTBID","DATE","PRODUCTID","PRODUCTNAME","STARTPRICE","WININNGBID"
"13000.0","Fri Mar 31 23:15:58 MSK 2023","13"," Vintage Orange Bag"," 5000","0.0"
"CURRENTBID","DATE","PRODUCTID","PRODUCTNAME","STARTPRICE","WININNGBID"
"27000.0","Fri Mar 31 23:17:54 MSK 2023","13"," Vintage Orange Bag"," 5000","0.0"
"BUYER","CURRENTBID","DATE","PRODUCTID","PRODUCTNAME","STARTPRICE","WININNGBID"
"Osebi","5000.0","Sat Apr 01 14:15:20 MSK 2023","14"," Protein 5l"," 2000","0.0"
"BUYER","CURRENTBID","DATE","PRODUCTID","PRODUCTNAME","STARTPRICE","WININNGBID"
"Antong","45000.0","Sat Apr 01 16:26:55 MSK 2023","11"," Vintage Black Bag"," 3950","0.0"
"BUYER","CURRENTBID","DATE","PRODUCTID","PRODUCTNAME","STARTPRICE","WININNGBID"
"osebi","45700.0","Sat Apr 01 18:24:58 MSK 2023","11"," Vintage Black Bag"," 3950","0.0"
